Lilith,5047396246,69243302,1,2,8,2,0.41666666,470,153,2,0,0,1,2,0,0,11.58,0
Blakkout,5047396246,9979778,4,2,5,1,0.8333333,298,35,0,0,13,0,2,0,20.114624,13.83,0
K[A]livunkka,5047329192,79878292,0,2,2,9,0.7352941,240,41,0,0,1,0,4,0,0,8.89,1.16
PatchThomas,5047329192,106197309,4,2,1,13,0.4117647,240,81,2,0,19,1,3,0,36.078808,13.89,0
Zen,5047329192,140467285,1,2,12,8,0.7647059,484,296,0,1,0,0,2,1,3.5788574,16.85,0
1980-Something Space Guy,5047329192,58762087,3,2,13,6,0.7352941,574,353,1,0,0,1,4,0,33.884094,16.92,0
Danny Brown,5047329192,167577976,2,2,5,7,0.6764706,339,170,0,0,0,0,5,0,37.52091,12.08,0
staylin,5047329192,63263924,1,2,8,4,0.627907,722,525,2,0,0,0,10,0,12.206543,16.37,0
.4leks...,5047329192,20413194,2,2,16,3,0.8372093,466,193,3,0,1,0,4,0,0,17.25,0
Jabinskiz,5047329192,99837014,0,2,10,7,0.60465115,437,219,1,0,0,1,17,0,14.541264,18.8,2.45
Newbycakes,5047329192,24521769,4,2,5,10,0.6511628,328,28,0,0,19,0,5,0,27.958008,14.14,0
